	-10	0.0014608816
	-9.5	
	-9	0.86944366
	-8.5	0.82047087
	-8	0.59169549
	-7.5	
	-7	0.34521797
	-6.5	0.051112164
	-6	
	-5.5	0.24308272
	-5	0.030432295
	-4.5	0.030086022
	-4	0.0049654236
	-3.5	0.02101675
	-3	0.019304255
	-2.5	0.11763224
	-2	0.15598063
	-1.5	0.17318814
	-1	0.072490066
	-0.5	0.30746493
	0	0.15998696
	0.5	0.1722589
	1	0.026987808
	1.5	0.037439179
	2	0.036969196
	2.5	0.046651047
	3	0.046320859
	3.5	0.04578656
	4	0.032520864
	4.5	0.045961235
	5	0.051674984
	5.5	0.043868821
	6	0.050533459
	6.5	0.040416423
	7	0.05081287
	7.5	0.050583132
	8	0.045486104
	8.5	0.040890653
	9	0.040110782
	9.5	0.050339397
	10	0.046598807
	10.5	0.029650752
	11	0.04419091
	11.5	0.041685153
	12	
	12.5	0.20088652
	13	
	13.5	
	14	
	14.5	
	15	
