	-10	
	-9.5	
	-9	
	-8.5	0.087468065
	-8	0.035697304
	-7.5	0.037916906
	-7	0.040562801
	-6.5	0.090494201
	-6	0.096496344
	-5.5	0.080007792
	-5	0.062379852
	-4.5	0.081837669
	-4	0.087992266
	-3.5	0.10418412
	-3	0.11450081
	-2.5	0.078979522
	-2	0.074032687
	-1.5	0.094736375
	-1	0.087306075
	-0.5	0.081982359
	0	0.086130351
	0.5	0.083848596
	1	0.080614679
	1.5	0.080153033
	2	0.078103848
	2.5	0.077529028
	3	0.076397359
	3.5	0.077105179
	4	0.075002596
	4.5	0.076391734
	5	0.074569546
	5.5	0.077371508
	6	0.075574338
	6.5	0.077926338
	7	0.077528641
	7.5	0.081598468
	8	0.073330782
	8.5	0.079303347
	9	0.07160864
	9.5	0.069671378
	10	0.076272063
	10.5	0.071660414
	11	0.069305502
	11.5	0.070253789
	12	0.073551841
	12.5	
	13	0.063194916
	13.5	0.065253377
	14	0.072721139
	14.5	0.062708639
	15	0.071985133
