	-10	0.40844455
	-9.5	1.0478441
	-9	0.97081339
	-8.5	0.044075646
	-8	
	-7.5	0.82214683
	-7	1.2718586
	-6.5	0.83607316
	-6	0.094902948
	-5.5	0.10746117
	-5	0.1586445
	-4.5	0.088006988
	-4	0.079240046
	-3.5	0.088692829
	-3	0.18321843
	-2.5	0.18188129
	-2	0.019424137
	-1.5	0.040447392
	-1	0.052786238
	-0.5	0.052893043
	0	0.054023735
	0.5	0.051851097
	1	0.0543162
	1.5	0.054109301
	2	0.053776868
	2.5	0.052000418
	3	0.054271065
	3.5	0.051493648
	4	0.052047469
	4.5	0.054832391
	5	0.053179938
	5.5	0.054649968
	6	0.054889638
	6.5	0.05286352
	7	0.051858034
	7.5	0.056194808
	8	0.046287421
	8.5	0.049267229
	9	0.060525563
	9.5	0.053702593
	10	0.055543624
	10.5	0.053742699
	11	0.058460422
	11.5	0.054078642
	12	0.059872672
	12.5	0.066112056
	13	0.063021578
	13.5	0.043486763
	14	0.031029351
	14.5	0.046308093
	15	0.050140254
